Periodo;ComunidadesAutonomas;TipoAlojamiento;TipoResidente;Pernoctaciones;Viajero
1/01/2023; Andalucia;Albergues;Residentes en el Extranjero;28445;14122
1/01/2023; Andalucia;Albergues;Residentes en Espana;47558;15345
1/01/2023; Andalucia;Alojamientos de Turismo Rural;Residentes en el Extranjero;17663;3746
1/01/2023; Andalucia;Alojamientos de Turismo Rural;Residentes en Espana;36575;16025
1/01/2023; Andalucia;Apartamentos Turisticos;Residentes en el Extranjero;346997;72884
1/01/2023; Andalucia;Apartamentos Turisticos;Residentes en Espana;223000;82808
1/01/2023; Andalucia;Campings;Residentes en el Extranjero;281305;35873
1/01/2023; Andalucia;Campings;Residentes en Espana;56810;17164
1/01/2023; Andalucia;Hotelera;Residentes en el Extranjero;1040807;383406
1/01/2023; Andalucia;Hotelera;Residentes en Espana;1052987;571285
1/01/2023; Aragon;Albergues;Residentes en el Extranjero;3837;487
1/01/2023; Aragon;Albergues;Residentes en Espana;16053;8085
1/01/2023; Aragon;Alojamientos de Turismo Rural;Residentes en el Extranjero;1499;267
1/01/2023; Aragon;Alojamientos de Turismo Rural;Residentes en Espana;26551;9990
1/01/2023; Aragon;Apartamentos Turisticos;Residentes en el Extranjero;4100;811
1/01/2023; Aragon;Apartamentos Turisticos;Residentes en Espana;31437;10479
1/01/2023; Aragon;Campings;Residentes en el Extranjero;1614;1009
1/01/2023; Aragon;Campings;Residentes en Espana;11983;4446
1/01/2023; Aragon;Hotelera;Residentes en el Extranjero;52713;25171
1/01/2023; Aragon;Hotelera;Residentes en Espana;298673;143876
1/01/2023; Principado de Asturias;Albergues;Residentes en el Extranjero;19;19
1/01/2023; Principado de Asturias;Albergues;Residentes en Espana;236;189
1/01/2023; Principado de Asturias;Alojamientos de Turismo Rural;Residentes en el Extranjero;1205;522
1/01/2023; Principado de Asturias;Alojamientos de Turismo Rural;Residentes en Espana;12943;5625
1/01/2023; Principado de Asturias;Apartamentos Turisticos;Residentes en el Extranjero;125;2
1/01/2023; Principado de Asturias;Apartamentos Turisticos;Residentes en Espana;5232;1913
1/01/2023; Principado de Asturias;Hotelera;Residentes en el Extranjero;20152;7329
1/01/2023; Principado de Asturias;Hotelera;Residentes en Espana;109756;60741
1/01/2023; Illes Balears;Alojamientos de Turismo Rural;Residentes en el Extranjero;15170;4284
